MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1123069056697,15.98,0.07,209.10648,25.25651,53470.32346,0
1123069056697,15.95,0.07,209.10646,25.25647,53470.33163,0
1123069056697,15.96,0.07,209.10650,25.25648,53470.33981,0
1123069056697,15.97,0.07,209.10652,25.25654,53470.34792,0
1123069056697,15.94,0.07,209.10646,25.25655,53490.29863,0
1123069056697,15.92,0.07,209.10644,25.25651,53490.30787,0
1123069056697,15.93,0.07,209.10644,25.25651,53490.31710,0
1123069056697,15.91,0.07,209.10649,25.25652,53490.32638,0
1123069056697,15.94,0.07,209.10647,25.25654,53557.19476,0
1123069056697,15.94,0.07,209.10647,25.25650,53557.20077,0
1123069056697,15.98,0.07,209.10642,25.25654,53557.20673,0
1123069056697,15.98,0.07,209.10648,25.25651,53557.21267,0
1123069056697,16.04,0.07,209.10647,25.25659,53567.17594,0
1123069056697,16.05,0.07,209.10651,25.25659,53567.18351,0
1123069056697,16.12,0.07,209.10632,25.25668,53567.19109,0
1123069056697,15.94,0.07,209.10650,25.25661,53567.19867,0
1123069056697,15.91,0.07,209.10647,25.25651,53551.19906,0
1123069056697,15.95,0.07,209.10646,25.25649,53551.20705,0
1123069056697,15.95,0.07,209.10651,25.25651,53551.21515,0
1123069056697,15.95,0.07,209.10648,25.25654,53551.22319,0
1123069056697,15.94,0.07,209.10648,25.25654,53506.25409,0
1123069056697,15.99,0.07,209.10639,25.25656,53506.26174,0
1123069056697,15.95,0.07,209.10647,25.25657,53506.26943,0
1123069056697,15.96,0.07,209.10643,25.25657,53506.27712,0
1123069056697,15.96,0.07,209.10648,25.25652,53834.44037,0
1123069056697,16.04,0.07,209.10644,25.25653,53834.44400,0
1123069056697,16.06,0.07,209.10642,25.25655,53834.44761,0
1123069056697,16.00,0.07,209.10640,25.25655,53834.45123,0
1123069056697,16.00,0.07,209.10641,25.25653,53851.19266,0
1123069056697,15.99,0.07,209.10643,25.25657,53851.20211,0
1123069056697,15.98,0.07,209.10641,25.25648,53851.21165,0
1123069056697,15.94,0.07,209.10648,25.25647,53851.22116,0
1123069056697,16.01,0.07,209.10644,25.25653,53793.48776,0
1123069056697,15.99,0.07,209.10643,25.25646,53793.49497,0
1123069056697,16.03,0.07,209.10645,25.25650,53793.50222,0
1123069056697,16.05,0.07,209.10644,25.25652,53793.50950,0
1123069056697,15.69,0.11,209.10655,25.25684,53900.32594,0
1123069056697,15.88,0.12,209.10638,25.25664,53900.32692,0
1123069056697,15.76,0.12,209.10648,25.25660,53900.32789,0
1123069056697,15.82,0.12,209.10652,25.25673,53900.32888,0
1123069056697,15.99,0.07,209.10648,25.25651,53803.37186,0
1123069056697,15.99,0.07,209.10646,25.25656,53803.37886,0
1123069056697,15.98,0.07,209.10650,25.25644,53803.38587,0
1123069056697,16.03,0.07,209.10643,25.25656,53803.39292,0
1123069056697,15.97,0.07,209.10641,25.25652,53819.36987,0
1123069056697,16.01,0.07,209.10644,25.25656,53819.37874,0
1123069056697,15.98,0.07,209.10651,25.25654,53819.38779,0
1123069056697,16.00,0.07,209.10645,25.25652,53819.39665,0
1123069056697,15.97,0.07,209.10643,25.25651,53859.25055,0
1123069056697,15.98,0.07,209.10644,25.25654,53859.26157,0
1123069056697,16.02,0.07,209.10645,25.25655,53859.26816,0
1123069056697,15.92,0.07,209.10648,25.25654,53859.27459,0
1123069056697,15.99,0.07,209.10644,25.25653,53878.37982,0
1123069056697,15.90,0.07,209.10646,25.25653,53878.38478,0
1123069056697,15.96,0.07,209.10642,25.25652,53878.38969,0
1123069056697,15.94,0.07,209.10648,25.25648,53878.39459,0
1123069056697,15.83,0.06,209.10644,25.25651,54204.28517,0
1123069056697,15.87,0.06,209.10643,25.25652,54204.29208,0
1123069056697,15.85,0.06,209.10645,25.25650,54204.29902,0
1123069056697,15.84,0.06,209.10647,25.25649,54204.30594,0
1123069056697,15.91,0.07,209.10642,25.25655,54437.50508,0
1123069056697,15.91,0.07,209.10636,25.25652,54437.50838,0
1123069056697,15.86,0.06,209.10642,25.25652,54437.51167,0
1123069056697,15.88,0.06,209.10640,25.25652,54437.51496,0
1123069056697,15.86,0.07,209.10638,25.25653,54257.20457,0
1123069056697,15.89,0.07,209.10643,25.25653,54257.21128,0
1123069056697,15.87,0.07,209.10643,25.25651,54257.21799,0
1123069056697,15.90,0.07,209.10644,25.25653,54257.22474,0
1123069056697,15.82,0.06,209.10649,25.25660,54276.22077,0
1123069056697,15.84,0.07,209.10641,25.25653,54276.22832,0
1123069056697,15.81,0.06,209.10641,25.25655,54276.23591,0
1123069056697,15.88,0.07,209.10644,25.25656,54276.24352,0
1123069056697,15.80,0.06,209.10647,25.25655,54169.49235,0
1123069056697,15.83,0.06,209.10645,25.25650,54169.49931,0
1123069056697,15.81,0.06,209.10644,25.25650,54169.50630,0
1123069056697,15.83,0.06,209.10639,25.25652,54169.51329,0
1123069056697,15.83,0.06,209.10648,25.25651,54175.32120,0
1123069056697,15.85,0.06,209.10646,25.25650,54175.32919,0
1123069056697,15.80,0.06,209.10645,25.25657,54175.33725,0
1123069056697,15.83,0.06,209.10648,25.25650,54175.34525,0
1123069056697,15.90,0.07,209.10642,25.25657,54230.29681,0
1123069056697,15.89,0.07,209.10644,25.25655,54230.30334,0
1123069056697,15.88,0.07,209.10646,25.25657,54230.30981,0
1123069056697,15.90,0.07,209.10648,25.25652,54230.31627,0
1123069056697,15.88,0.07,209.10649,25.25651,54236.28895,0
1123069056697,15.92,0.07,209.10647,25.25654,54236.29592,0
1123069056697,15.90,0.07,209.10645,25.25655,54236.30291,0
1123069056697,15.89,0.07,209.10644,25.25654,54236.30990,0
1123069056697,15.92,0.07,209.10645,25.25654,54245.24197,0
1123069056697,15.94,0.07,209.10650,25.25656,54245.25118,0
1123069056697,15.83,0.06,209.10644,25.25657,54245.26040,0
1123069056697,15.93,0.07,209.10646,25.25655,54245.26976,0
1123069056697,15.93,0.07,209.10643,25.25650,54557.40054,0
1123069056697,15.92,0.07,209.10649,25.25650,54557.40918,0
1123069056697,15.92,0.07,209.10648,25.25657,54557.41800,0
1123069056697,15.92,0.07,209.10648,25.25655,54557.42663,0
1123069056697,15.91,0.07,209.10646,25.25652,54564.32125,0
1123069056697,15.90,0.07,209.10639,25.25653,54564.32972,0
1123069056697,15.92,0.07,209.10641,25.25654,54564.33816,0
1123069056697,15.87,0.06,209.10648,25.25645,54564.34661,0
1123069056697,15.92,0.07,209.10643,25.25654,54571.25745,0
1123069056697,15.94,0.07,209.10641,25.25656,54571.26504,0
1123069056697,15.90,0.06,209.10644,25.25654,54571.27263,0
1123069056697,15.89,0.06,209.10649,25.25654,54571.28023,0
1123069056697,15.88,0.06,209.10643,25.25648,54585.25170,0
1123069056697,15.89,0.06,209.10643,25.25654,54585.25959,0
1123069056697,15.90,0.07,209.10646,25.25652,54585.26746,0
1123069056697,15.93,0.07,209.10640,25.25658,54585.27534,0
1123069056697,16.00,0.07,209.10634,25.25660,54807.50983,0
1123069056697,15.93,0.07,209.10637,25.25659,54807.51469,0
1123069056697,15.97,0.07,209.10641,25.25660,54807.51959,0
1123069056697,15.92,0.07,209.10641,25.25656,54807.52447,0
1123069056697,15.90,0.06,209.10643,25.25650,54497.47542,0
1123069056697,15.89,0.06,209.10646,25.25653,54497.48148,0
1123069056697,15.88,0.06,209.10646,25.25656,54497.48770,0
1123069056697,15.89,0.06,209.10643,25.25653,54497.49375,0
1123069056697,15.88,0.07,209.10642,25.25654,54507.42953,0
1123069056697,15.91,0.07,209.10641,25.25657,54507.43807,0
1123069056697,15.90,0.07,209.10643,25.25653,54507.44660,0
1123069056697,15.89,0.07,209.10646,25.25655,54507.45508,0
1123069056697,15.83,0.06,209.10651,25.25661,54514.44501,0
1123069056697,15.88,0.06,209.10644,25.25656,54514.45102,0
1123069056697,15.87,0.06,209.10651,25.25650,54514.45700,0
1123069056697,15.92,0.07,209.10649,25.25668,54514.46298,0
1123069056697,15.98,0.07,209.10643,25.25656,54625.28687,0
1123069056697,15.97,0.07,209.10649,25.25654,54625.29397,0
1123069056697,15.98,0.07,209.10650,25.25650,54625.30110,0
1123069056697,15.95,0.07,209.10649,25.25648,54625.30823,0
1123069056697,16.02,0.07,209.10638,25.25655,54641.27440,0
1123069056697,16.03,0.07,209.10644,25.25655,54641.28091,0
1123069056697,15.96,0.07,209.10642,25.25659,54641.28744,0
1123069056697,15.97,0.07,209.10644,25.25654,54641.29395,0
1123069056697,15.92,0.06,209.10644,25.25652,54527.38914,0
1123069056697,15.87,0.06,209.10648,25.25653,54527.39723,0
1123069056697,15.93,0.06,209.10648,25.25654,54527.40530,0
1123069056697,15.89,0.06,209.10643,25.25651,54527.41341,0
1123069056697,15.86,0.07,209.10642,25.25650,54537.40019,0
1123069056697,15.89,0.07,209.10640,25.25648,54537.40929,0
1123069056697,15.83,0.07,209.10644,25.25648,54537.41515,0
1123069056697,15.88,0.07,209.10646,25.25652,54537.42189,0
1123069056697,15.94,0.07,209.10644,25.25655,54592.31780,0
1123069056697,15.92,0.07,209.10644,25.25655,54593.26970,0
1123069056697,15.94,0.07,209.10649,25.25652,54593.27616,0
1123069056697,15.90,0.07,209.10647,25.25651,54593.28257,0
1123069056697,15.89,0.07,209.10645,25.25647,54593.28900,0
1123069056697,15.97,0.07,209.10642,25.25657,54599.16322,0
1123069056697,15.87,0.07,209.10652,25.25657,54599.16971,0
1123069056697,15.90,0.07,209.10644,25.25657,54599.17622,0
1123069056697,15.92,0.07,209.10646,25.25660,54599.18269,0
1123069056697,15.97,0.07,209.10656,25.25664,54715.11610,0
1123069056697,15.90,0.07,209.10644,25.25657,54715.12094,0
1123069056697,15.97,0.07,209.10648,25.25665,54715.12632,0
1123069056697,15.95,0.07,209.10651,25.25658,54715.13116,0
1123069056697,15.98,0.07,209.10644,25.25659,54944.35321,0
1123069056697,15.91,0.07,209.10649,25.25648,54944.36205,0
1123069056697,15.94,0.07,209.10649,25.25648,54944.37100,0
1123069056697,15.94,0.07,209.10643,25.25651,54944.37991,0
1123069056697,15.95,0.07,209.10644,25.25649,54884.36852,0
1123069056697,15.92,0.07,209.10643,25.25651,54884.37452,0
1123069056697,15.85,0.07,209.10644,25.25651,54884.38053,0
1123069056697,16.10,0.09,209.10645,25.25674,54884.38655,0
1123069056697,15.98,0.07,209.10647,25.25654,54861.39613,0
1123069056697,15.93,0.06,209.10640,25.25655,54861.40785,0
1123069056697,15.93,0.06,209.10647,25.25647,54861.41950,0
1123069056697,15.90,0.06,209.10646,25.25655,54861.43106,0
1123069056697,16.00,0.07,209.10639,25.25671,55017.19063,0
1123069056697,16.02,0.07,209.10640,25.25666,55017.19676,0
1123069056697,15.98,0.07,209.10637,25.25657,55017.20282,0
1123069056697,15.95,0.07,209.10641,25.25657,55017.20893,0
1123069056697,15.94,0.07,209.10647,25.25653,54999.17215,0
1123069056697,15.97,0.07,209.10642,25.25654,54999.17758,0
1123069056697,15.95,0.07,209.10645,25.25647,54999.18306,0
1123069056697,15.95,0.07,209.10643,25.25653,54999.18841,0
1123069056697,15.92,0.06,209.10650,25.25653,54893.40866,0
1123069056697,15.88,0.06,209.10650,25.25648,54893.41534,0
1123069056697,15.90,0.06,209.10648,25.25648,54893.42214,0
1123069056697,15.89,0.06,209.10644,25.25654,54893.42879,0
1123069056697,15.92,0.06,209.10642,25.25653,54909.41827,0
1123069056697,15.90,0.06,209.10648,25.25650,54909.42752,0
1123069056697,15.90,0.06,209.10646,25.25652,54909.43684,0
1123069056697,15.89,0.06,209.10641,25.25654,54909.44610,0
1123069056697,15.90,0.06,209.10642,25.25652,54918.30681,0
1123069056697,15.96,0.07,209.10641,25.25654,54918.31226,0
1123069056697,15.94,0.07,209.10649,25.25652,54918.31776,0
1123069056697,15.94,0.07,209.10644,25.25651,54918.32318,0
1123069056697,15.95,0.07,209.10651,25.25653,54964.29979,0
1123069056697,15.92,0.07,209.10645,25.25656,54964.30640,0
1123069056697,15.95,0.07,209.10637,25.25657,54964.31307,0
1123069056697,15.93,0.07,209.10650,25.25651,54964.31974,0
1123069056697,15.96,0.07,209.10648,25.25646,54981.33144,0
1123069056697,15.93,0.07,209.10646,25.25651,54981.34960,0
1123069056697,16.04,0.07,209.10648,25.25650,55292.41087,0
1123069056697,16.04,0.07,209.10651,25.25646,55292.41716,0
1123069056697,16.01,0.07,209.10647,25.25649,55292.42356,0
1123069056697,16.04,0.07,209.10651,25.25655,55292.42996,0
1123069056697,16.08,0.07,209.10642,25.25647,55301.30018,0
1123069056697,16.07,0.07,209.10645,25.25646,55301.30591,0
1123069056697,16.05,0.07,209.10646,25.25650,55301.31167,0
1123069056697,16.07,0.07,209.10639,25.25645,55301.31741,0
1123069056697,16.08,0.07,209.10635,25.25651,55242.43469,0
1123069056697,16.11,0.07,209.10646,25.25652,55242.44352,0
1123069056697,16.15,0.07,209.10642,25.25649,55242.45229,0
1123069056697,16.08,0.07,209.10645,25.25652,55242.46105,0
1123069056697,16.09,0.07,209.10646,25.25656,55350.26909,0
1123069056697,16.09,0.07,209.10650,25.25661,55350.27591,0
1123069056697,16.05,0.07,209.10637,25.25655,55350.28278,0
1123069056697,16.07,0.07,209.10648,25.25658,55350.28973,0
1123069056697,16.01,0.07,209.10646,25.25645,55271.34134,0
1123069056697,16.05,0.07,209.10645,25.25651,55271.34824,0
1123069056697,16.03,0.07,209.10646,25.25651,55271.35522,0
1123069056697,16.05,0.07,209.10653,25.25646,55271.36212,0
1123069056697,16.16,0.07,209.10650,25.25652,55281.34692,0
1123069056697,16.05,0.07,209.10649,25.25647,55281.35253,0
1123069056697,16.04,0.07,209.10644,25.25650,55281.35806,0
1123069056697,16.01,0.07,209.10641,25.25645,55281.36367,0
1123069056697,16.08,0.07,209.10646,25.25651,55328.31832,0
1123069056697,16.07,0.07,209.10641,25.25654,55328.32583,0
1123069056697,16.07,0.07,209.10644,25.25653,55328.33338,0
1123069056697,16.07,0.07,209.10644,25.25650,55328.34097,0
1123069056697,16.14,0.07,209.10635,25.25648,55335.16000,0
1123069056697,16.04,0.07,209.10637,25.25648,55335.16696,0
1123069056697,16.11,0.07,209.10629,25.25651,55335.18256,0
1123069056697,16.03,0.07,209.10637,25.25646,55335.19496,0
1123069056697,16.23,0.10,209.10645,25.25658,55659.25184,0
1123069056697,16.13,0.07,209.10643,25.25651,55659.25835,0
1123069056697,16.22,0.09,209.10623,25.25665,55659.26413,0
1123069056697,16.19,0.07,209.10637,25.25656,55659.26993,0
1123069056697,16.10,0.07,209.10642,25.25657,55676.20108,0
1123069056697,16.14,0.08,209.10641,25.25659,55676.20865,0
1123069056697,16.19,0.07,209.10641,25.25657,55676.21621,0
1123069056697,16.21,0.07,209.10634,25.25654,55676.22379,0
1123069056697,16.14,0.07,209.10643,25.25655,55629.36396,0
1123069056697,16.20,0.07,209.10640,25.25650,55629.37193,0
1123069056697,16.16,0.07,209.10641,25.25650,55629.37939,0
1123069056697,16.21,0.07,209.10641,25.25658,55629.38695,0
1123069056697,16.22,0.08,209.10646,25.25662,55636.27826,0
1123069056697,16.25,0.08,209.10639,25.25666,55636.28420,0
1123069056697,16.28,0.08,209.10626,25.25664,55636.29024,0
1123069056697,16.17,0.08,209.10643,25.25664,55636.29629,0
1123069056697,16.19,0.07,209.10643,25.25651,55647.29839,0
1123069056697,16.22,0.07,209.10633,25.25650,55647.30583,0
1123069056697,16.20,0.07,209.10642,25.25653,55647.31329,0
1123069056697,16.16,0.07,209.10634,25.25647,55647.32081,0
1123069056697,16.16,0.07,209.10659,25.25661,55693.30796,0
1123069056697,16.17,0.07,209.10640,25.25647,55693.31620,0
1123069056697,16.18,0.07,209.10641,25.25659,55693.32458,0
1123069056697,16.18,0.07,209.10651,25.25652,55693.33286,0
1123069056697,16.27,0.07,209.10646,25.25650,55708.30082,0
1123069056697,16.19,0.07,209.10645,25.25647,55708.30993,0
1123069056697,16.24,0.07,209.10641,25.25650,55708.31924,0
1123069056697,16.23,0.07,209.10652,25.25659,55708.32859,0
1123069056697,16.21,0.07,209.10660,25.25645,55939.52299,0
1123069056697,16.24,0.07,209.10648,25.25653,55939.52973,0
1123069056697,16.29,0.07,209.10644,25.25652,55939.53650,0
1123069056697,16.28,0.07,209.10651,25.25648,55939.54332,0
1123069056697,16.23,0.07,209.10654,25.25650,55981.50062,0
1123069056697,16.29,0.07,209.10653,25.25652,55981.50566,0
1123069056697,16.25,0.07,209.10646,25.25653,55981.51072,0
1123069056697,16.26,0.07,209.10647,25.25651,55981.51589,0
1123069056697,16.17,0.07,209.10649,25.25654,55999.50130,0
1123069056697,16.23,0.07,209.10653,25.25650,55999.50582,0
1123069056697,16.25,0.07,209.10655,25.25649,55999.51045,0
1123069056697,16.21,0.07,209.10654,25.25639,55999.51505,0
1123069056697,16.23,0.07,209.10648,25.25655,56012.36366,0
1123069056697,16.24,0.07,209.10646,25.25647,56012.36701,0
1123069056697,16.22,0.07,209.10646,25.25649,56012.37039,0
1123069056697,16.25,0.07,209.10646,25.25651,56012.37379,0
1123069056697,16.25,0.07,209.10654,25.25653,56018.34899,0
1123069056697,16.18,0.07,209.10656,25.25650,56018.35700,0
1123069056697,16.21,0.07,209.10655,25.25652,56018.36501,0
1123069056697,16.18,0.07,209.10652,25.25648,56018.37300,0
1123069056697,16.23,0.07,209.10655,25.25652,56033.35574,0
1123069056697,16.26,0.07,209.10652,25.25651,56033.36132,0
1123069056697,16.26,0.07,209.10647,25.25653,56033.36696,0
1123069056697,16.24,0.07,209.10651,25.25651,56033.37256,0
1123069056697,16.27,0.07,209.10646,25.25654,56038.37364,0
1123069056697,16.24,0.07,209.10647,25.25652,56038.38095,0
1123069056697,16.24,0.07,209.10652,25.25653,56038.38821,0
1123069056697,16.24,0.07,209.10654,25.25649,56038.39558,0
1123069056697,16.22,0.07,209.10642,25.25646,56048.17249,0
1123069056697,16.32,0.07,209.10637,25.25655,56048.18101,0
1123069056697,16.24,0.07,209.10646,25.25647,56048.18947,0
1123069056697,16.27,0.07,209.10646,25.25644,56048.19806,0
1123069056697,16.30,0.07,209.10653,25.25650,56063.31940,0
1123069056697,16.35,0.07,209.10651,25.25650,56063.32612,0
1123069056697,16.30,0.07,209.10655,25.25650,56063.33292,0
1123069056697,16.33,0.07,209.10649,25.25652,56063.33970,0
1123069056697,16.39,0.07,209.10652,25.25656,56070.19285,0
1123069056697,16.37,0.07,209.10652,25.25651,56070.19901,0
1123069056697,16.30,0.08,209.10663,25.25640,56070.20516,0
1123069056697,16.30,0.07,209.10653,25.25647,56070.21128,0
1123069056697,16.27,0.07,209.10653,25.25650,56096.25357,0
1123069056697,16.23,0.07,209.10652,25.25649,56096.26205,0
1123069056697,16.24,0.07,209.10652,25.25652,56096.26989,0
1123069056697,16.25,0.07,209.10657,25.25651,56096.27771,0
1123069056697,16.30,0.07,209.10658,25.25653,56297.51793,0
1123069056697,16.29,0.07,209.10646,25.25651,56297.52595,0
1123069056697,16.30,0.07,209.10650,25.25651,56297.53396,0
1123069056697,16.28,0.07,209.10651,25.25656,56297.54192,0
1123069056697,16.33,0.08,209.10648,25.25651,56356.52143,0
1123069056697,16.32,0.08,209.10651,25.25653,56356.52369,0
1123069056697,16.29,0.08,209.10649,25.25659,56356.52600,0
1123069056697,16.35,0.08,209.10655,25.25662,56356.52821,0
1123069056697,16.31,0.07,209.10647,25.25651,56368.32992,0
1123069056697,16.28,0.07,209.10655,25.25649,56368.33897,0
1123069056697,16.28,0.07,209.10650,25.25650,56368.34814,0
1123069056697,16.30,0.07,209.10645,25.25651,56368.35727,0
1123069056697,16.31,0.07,209.10650,25.25648,56386.33403,0
1123069056697,16.25,0.07,209.10655,25.25652,56386.33903,0
1123069056697,16.28,0.07,209.10646,25.25657,56386.34412,0
1123069056697,16.32,0.07,209.10650,25.25658,56386.34925,0
1123069056697,16.31,0.07,209.10650,25.25649,56395.28259,0
1123069056697,16.25,0.07,209.10658,25.25651,56395.28992,0
1123069056697,16.27,0.07,209.10645,25.25649,56395.29726,0
1123069056697,16.38,0.07,209.10652,25.25656,56403.22424,0
1123069056697,16.40,0.07,209.10652,25.25657,56403.23046,0
1123069056697,16.31,0.07,209.10655,25.25652,56403.23669,0
1123069056697,16.35,0.07,209.10651,25.25644,56403.24291,0
1123069056697,16.30,0.07,209.10652,25.25641,56414.32366,0
1123069056697,16.33,0.07,209.10650,25.25652,56414.33045,0
1123069056697,16.29,0.07,209.10663,25.25649,56414.33735,0
1123069056697,16.29,0.07,209.10661,25.25644,56414.34420,0
1123069056697,16.32,0.07,209.10655,25.25651,56427.32706,0
1123069056697,16.27,0.07,209.10650,25.25645,56427.33150,0
1123069056697,16.25,0.07,209.10649,25.25640,56427.33595,0
1123069056697,16.36,0.07,209.10647,25.25654,56427.34050,0
1123069056697,16.26,0.07,209.10653,25.25656,56447.23637,0
1123069056697,16.24,0.07,209.10652,25.25650,56447.24540,0
1123069056697,16.25,0.07,209.10651,25.25649,56447.25442,0
1123069056697,16.22,0.07,209.10649,25.25644,56447.26349,0
1123069056697,16.30,0.07,209.10651,25.25653,56456.20470,0
1123069056697,16.34,0.07,209.10645,25.25659,56456.21307,0
1123069056697,16.31,0.07,209.10653,25.25652,56456.22151,0
1123069056697,16.28,0.07,209.10649,25.25645,56456.22993,0
1123069056697,16.30,0.07,209.10649,25.25656,56464.24381,0
1123069056697,16.39,0.07,209.10646,25.25666,56464.24827,0
1123069056697,16.35,0.07,209.10647,25.25658,56464.25281,0
1123069056697,16.41,0.07,209.10642,25.25664,56464.25733,0
